Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Scientist,ALLIANZ AUSTRALIA SERVICES PTY LTD,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-31T00:06:29Z,"DATA SCIENTIST–DATA AND ANALYTICS| SYDNEY At Allianz, we’re proud to be named one of the Best Workplaces in Australia 2024 and a Great Place to Work. We’re one of the world’s leading insurance and asset management brands, with a workforce as diverse as the world around us, which is why we hire the very best people to further our commitment to securing the future for our people and customers. We offer an inclusive workplace where everyone feels like they belong, while promoting a culture of life…",https://www.adzuna.com.au/details/5029628362?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Data Scientist,Mane Consulting,"Adelaide CBD, Adelaide",IT Jobs,,full_time,,,2025-01-31T22:03:24Z,"Get recognition and reward working with this a pioneering industry leader, as they embark on a transformative journey The Data Scientist will drive internal data analytics projects serving all areas of the company. Investigations will vary from short preliminary explorations to deeper, longer-term studies. You will have the opportunity to work side by side with talented, motivated, and intellectually stimulating colleagues who thrive on helping the business solve the most pressing business oppo…",https://www.adzuna.com.au/details/5030975702?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Data Scientist,Ampol,"Eveleigh, Sydney",IT Jobs,contract,full_time,,,2025-01-31T09:58:59Z,"About Ampol Powering better journeys, today and tomorrow. Our company has always been about more than fuel. Fuel may be the foundation of our business, but our motivation and purpose come from the people, businesses, industries and communities we engage with. From our origins until today, we’ve always been inspired by the role we can play in people’s lives – to keep them moving, to make journeys happen. Here at Ampol, we are proud of our heritage as Australia’s only owned fuel brand. For over 1…",https://www.adzuna.com.au/details/5030264028?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Data Scientist/Data Analyst,Blunomy,"South Yarra, Stonnington Area",IT Jobs,,full_time,70000,105000,2025-01-28T21:48:05Z,"Job description Data analytics in the energy and climate space is growing at an incredible rate. Blunomy is growing the team to support the energy industry through its digitisation, decentralisation and decarbonisation transition and to support operability and planning in Australia and around the world. We are looking for someone passionate about energy and data analytics to do-well-and-do-good by delivering data science products to better the energy market. As an analyst, you will work on proj…",https://www.adzuna.com.au/details/5026832633?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
"Senior Data Scientist - ML, Gen AI",Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-01-30T09:54:01Z,"Senior Data Scientist – ML, Gen AI You are determined to stay ahead of the latest technologies in Data Science We are one of the largest and most advanced Data Science practices in the country Together we can build state-of-the-art AI models that power seamless experiences for millions of customers. Do work that matters As a Senior Data Scientist within the Technology Data Science team, you will play a key role in the design, development, and deployment of state-of-the-art ML and Gen AI models …",https://www.adzuna.com.au/details/5028770755?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Program Officer - Data Sciences and Advanced Capability,Queensland Fire and Emergency Services,"Brisbane CBD, Brisbane",Admin Jobs,,full_time,,,2025-01-31T22:03:28Z,"Queensland Fire Department Status: Temporary Flexible Full-time Tenure Period: Until 4 May 2025 Possibility of Extension: Yes Classification: AO5 Salary: $3,878.00 - $4,208.00 per fortnight Division: Rural Fire Service QLD Region/Directorate: STRATEGIC CAP Work Unit: Data Science & Advanced Capability Location: Albion 4010 Closing Date: Midnight 16 February 2025 Reference No: QLD_QFD_20535_25 Current Queensland Fire Department employees and volunteers must apply via their internal careers site …",https://www.adzuna.com.au/details/5030976146?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
"Senior Associate Data Scientist- ML, Gen AI",Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-01-30T09:54:00Z,"Senior Associate Data Scientist- ML, Gen AI You are curious and passionate to build advanced ML and Gen AI models We are ambitious in transforming lives of customers using ML and Gen AI Together we will deliver innovative Gen AI solutions at scale to our customers Do work that matters: Here, you’ll turn your passion into reality. In this role, you will contribute to design, development and implementation to cutting edge AI solutions to accelerate Tech modernization, SDLC and uplift customer exp…",https://www.adzuna.com.au/details/5028770690?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
"Senior Lecturer/Associate Professor, Data Science and Artificial Intelligence",RMIT University,"South Yarra, Stonnington Area",Teaching Jobs,contract,full_time,,,2025-01-26T20:30:06Z,"Overview: 1 x full time (or fraction to be negotiated), ongoing position available within the Discipline of DSAI Salary Academic Level C ($135,814 -$156,608) or D ($163,538 - $180,166)  17% Super, depending on qualifications and experience Based at the City campus, but may be required to travel to other University campuses About the Roles In the School of Computing Technologies, we aim to change student experience by embracing evidence-informed pedagogical strategies, and experimenting with inn…",https://www.adzuna.com.au/details/5024721784?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Data Scientist,Mane Consulting,"Adelaide, Adelaide Region",IT Jobs,permanent,full_time,150000,175000,2025-02-01T04:00:29Z,"Get recognition and reward working with this a pioneering industry leader, as they embark on a transformative journey The Data Scientist will drive internal data analytics projects serving all areas of the company. Investigations will vary from short preliminary explorations to deeper, longer-term studies. You will have the opportunity to work side by side with talented, motivated, and intellectually stimulating colleagues who thrive on helping the business solve the most pressing business oppo…",https://www.adzuna.com.au/details/5031221209?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
Data Scientist,Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,permanent,full_time,,,2025-01-26T08:28:19Z,"Permanent Full Time Opportunity You are determined to stay ahead of the latest technologies in Data Science We're one of the largest and most advanced Data Science practices in the country Together we can build state-of-the-art Data Science models that power seamless experiences for millions of customers. See yourself in the team: Group Audit & Assurance (GA&A) provides independent, objective, and commercial risk focused assurance to the Board Audit Committee (BAC) to assist the Group in securi…",https://www.adzuna.com.au/details/5024251710?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:43:35.483530
