Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Analyst,COGNIZANT,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-29T09:50:53Z,"What makes Cognizant a unique place to work? The combination of rapid growth and an international and innovative environment This is creating many opportunities for people like YOU — people with an entrepreneurial spirit who want to make a difference in this world. At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies and help them become more flexible, more innovative, and successful. Moreover, this i…",https://www.adzuna.com.au/details/5027462432?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Technical Data Analyst/ Senior Technical Data Analyst,Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-01-30T09:54:01Z,"Do work that matters We’re a global data and analytics team with a customer-led mindset committed to building a brighter future for all. Our vision is to build and deliver world-class experiences for our customers using the power of data, analytics and artificial intelligence (AI). To us, data is everything, it’s what powers our cutting-edge features and the reason we can provide seamless experiences for our customers from the branch on your street to the app on your phone. See yourself in our …",https://www.adzuna.com.au/details/5028770766?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Tech Data Analyst,HAYS,"Sydney CBD, Sydney",IT Jobs,,part_time,,,2025-01-26T20:30:05Z,"Tech Data Analyst Your new company Join a team of innovators shaping the future of banking. They're committed to using cutting-edge technology and innovation to build tomorrow's bank today. Your new role As a Technical Data Analyst, you will collaborate with our key internal stakeholders gathering requirements to design, build, deploy, and test data pipelines across a variety of use cases. What you'll need to succeed Show confidence in navigating group data products and data assets, by integrat…",https://www.adzuna.com.au/details/5024721647?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Finance & Data Analyst,C3Talent,"Brisbane CBD, Brisbane",Accounting & Finance Jobs,,full_time,,,2025-01-29T21:54:10Z,"Build advanced pricing and scenario models Modern CBD fringe location, close to public transport $120,000  super  WFH flexibility The Role Join a highly respected financial services organisation that provides innovative solutions across banking, energy, utilities, and telecommunications. As a Finance & Data Analyst, you will play a key role in the Corporate Finance team, developing pricing and scenario models to drive financial strategies and support informed commercial decision-making. Reporti…",https://www.adzuna.com.au/details/5028168099?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Data Analyst HRIS,Exclaim IT,"Brisbane CBD, Brisbane",Accounting & Finance Jobs,contract,,,,2025-02-01T10:05:49Z,"Location: Brisbane, Queensland Type: Contract Job 17444 Overview We are seeking skilled Data Analysts to support parallel pay runs between a legacy payroll system and a new payroll system. This role involves collecting, cleaning, analyzing, and organizing payroll-related data to ensure seamless payroll processing. The successful candidate will possess strong analytical skills, attention to detail, and experience with payroll and rostering systems. Responsibilities Collect data from various sour…",https://www.adzuna.com.au/details/5031840622?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
APS6 Data Analyst,HorizonOne Recruitment,"Braddon, North Canberra",IT Jobs,contract,full_time,,,2025-01-30T09:54:00Z,Automate and enhance reporting for a multi-billion-dollar environmental program | SAP/TechOne to Azure Data Factory using Python This organisation is an environmental focussed line agency within a division that helps businesses and communities use resources sustainably and efficiently by progressing reforms. The Opportunity This vacancy is within the data section that provides analysis and reporting to several programs. The team is made up of 2x Data EL1s and 1x APS6 who have extensive and thor…,https://www.adzuna.com.au/details/5028770678?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Flight Data Analyst,Qantas Airways Limited,"The Rocks, Sydney",Logistics & Warehouse Jobs,permanent,full_time,,,2025-02-02T08:11:07Z,"Job Description Rare opportunity to join the Flight Data team within Qantas Group Safety Ensure data integrity in reporting safety related insights Permanent, Full-time opportunity located at out Mascot Head Office Today, we’re busy planning for tomorrow. We look to the future to guide the way we innovate, helping us stay relevant and responsive in an unpredictable industry. Our collaborative culture allows us to dream big and deliver successfully, knowing we’re supported by the best people. To…",https://www.adzuna.com.au/details/5033549303?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Senior Data Analyst,Spotlight Group,"Victoria, Australia",IT Jobs,contract,full_time,,,2025-01-29T09:50:49Z,"Iconic Australian owned and operated global retail business Must have experience in a Retail Analytics role, leveraging various data sources Hybrid role in a vibrant team culture where we embrace pace, encourage new ideas & leadership Spotlight Retail Group's Analytics & Insight Team, a critical support function for our key brands (Spotlight, Anaconda, and Harris Scarfe), is seeking a highly skilled Senior Data Analyst for a 12 months contract role As a key member of our team, you will play a v…",https://www.adzuna.com.au/details/5027461857?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Fraud Data Analyst,Westpac Group,"The Rocks, Sydney",IT Jobs,permanent,full_time,,,2025-01-31T22:03:24Z,"Permanent Full time Sydney Location 2 days working in office How will I help? Fraud Prevention is responsible for protecting our customers, the Westpac Group, and its employees from fraud and scams. As a Fraud Analyst specialising in internal fraud, you'll leverage your data analytics skills to provide insight, and design, test, & deploy detections that identify risk of internal fraud or malpractice. Key responsibilities will include: Analyse and interrogate data to enhance the detection of fra…",https://www.adzuna.com.au/details/5030975602?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
Data Analyst - Dynamics 365,Latitude IT,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-31T22:03:28Z,"Collaborative, supportive, Values driven environment Great coffee (and a variety of tea) and fresh fruit Avoid the traffic: we are outside the CBD and close to public transport Sydney (hybrid working) Dynamics 365 or other ERP experience Data analysis & insights, Data cleansing & validation, Data reporting We're looking for an experienced Data Analyst to join a Dynamics 365 program. In this role you will work closely with cross-functional teams to analyse, map, and optimise data for the success…",https://www.adzuna.com.au/details/5030976116?utm_medium=api&utm_source=4a3e4881,2025-02-02 20:42:15.525784
